lnc	gene	Stg I $estimate	Stg I $p.value	Stg II $estimate	Stg II $p.value	Stg III $estimate	Stg III $p.value
ENSG00000263400	ENSG00000089280	0.1194506	0.06246622	-0.03703701	0.6398458	0.341581	0.001472968
ENSG00000225383	ENSG00000141448	0.4149569	1.422546e-11	0.3454813	6.711491e-06	0.2275232	0.03739526
ENSG00000245694	ENSG00000113924	-0.09481329	0.1397415	-0.04595939	0.5614125	-0.07619477	0.4909018
ENSG00000225383	ENSG00000101076	-0.01209325	0.8509241	0.03029109	0.701983	-0.05074504	0.6466559
ENSG00000250328	ENSG00000122566	0.02276654	0.7234555	-0.04922921	0.533869	-0.1242176	0.2602582
ENSG00000225383	ENSG00000122566	-0.1193407	0.06270945	-0.02070766	0.7936664	-0.1173342	0.287805
ENSG00000260948	ENSG00000122566	0.3812518	7.322722e-10	0.176502	0.02465427	0.3882002	0.0002634679
ENSG00000259033	ENSG00000122566	0.09271666	0.1487514	0.1642571	0.03673735	0.09847367	0.3728372
ENSG00000249736	ENSG00000122566	0.1912165	0.002706153	0.1795482	0.02224309	0.3544212	0.0009405871
ENSG00000260948	ENSG00000073792	0.129509	0.04326673	0.03402228	0.6673381	0.006592672	0.9525394
ENSG00000225383	ENSG00000177606	0.1949674	0.002218836	0.09516568	0.2283508	-0.04198163	0.7045617
ENSG00000245532	ENSG00000174996	0.05849562	0.3629185	0.1606046	0.04119061	0.247664	0.0231242
ENSG00000251562	ENSG00000174996	0.1069466	0.09556112	0.20774	0.007986808	0.4060794	0.0001268319
ENSG00000251562	ENSG00000148773	0.07050798	0.2726063	0.01876263	0.8126716	0.2339351	0.03221458
ENSG00000245694	ENSG00000148773	0.2304569	0.0002830331	0.110238	0.1625654	0.2745882	0.01148055
ENSG00000245532	ENSG00000115648	0.3325829	1.033866e-07	0.1620298	0.03940178	0.2674682	0.01390741
ENSG00000268388	ENSG00000115648	0.4154959	1.330772e-11	-9.153056e-05	0.9990777	-0.09241061	0.4031225
ENSG00000251562	ENSG00000115648	0.1449214	0.0235688	0.007713711	0.9223923	-0.002287431	0.9835244
ENSG00000245532	ENSG00000115275	0.0769218	0.2312437	0.08689454	0.2715484	0.1452394	0.1874378
ENSG00000260948	ENSG00000155363	0.3635706	4.87274e-09	0.2698698	0.0005147741	0.2632775	0.01553434
ENSG00000250328	ENSG00000155363	0.06257308	0.3303755	0.1205238	0.1265837	0.007580389	0.9454391
ENSG00000251562	ENSG00000131400	0.03540925	0.5820159	0.07206848	0.3621032	-0.02620964	0.8129232
ENSG00000245694	ENSG00000173376	-0.06497667	0.3121004	-0.05274951	0.5049912	-0.1189228	0.2812825
ENSG00000245532	ENSG00000112981	0.1229022	0.05521134	0.08714591	0.270159	-0.01909191	0.8631435
ENSG00000268388	ENSG00000112981	0.3858099	4.409093e-10	0.05275051	0.5049831	-0.1484757	0.1776916
ENSG00000251562	ENSG00000142731	0.1210566	0.05899854	0.1368703	0.08242829	0.32005	0.002999024
ENSG00000225383	ENSG00000132170	0.2241662	0.0004177348	0.1331963	0.09108119	0.01566437	0.8875352
ENSG00000186594	ENSG00000011304	-0.2119095	0.0008652063	-0.1460401	0.06368942	-0.1038353	0.3472431
ENSG00000268388	ENSG00000183010	-0.1081464	0.09187802	0.02571863	0.7452843	0.1283702	0.2445354
ENSG00000251562	ENSG00000118849	-0.04429923	0.4909737	-0.03752223	0.6354651	-0.1629359	0.1386407
ENSG00000268388	ENSG00000118849	0.09849989	0.1249189	0.009705142	0.9024455	-0.08712494	0.4306683
ENSG00000245694	ENSG00000118849	-0.07647318	0.233984	-0.05379247	0.4965949	0.07669914	0.488028
ENSG00000235997	ENSG00000182872	-0.0385495	0.5489774	-0.08798733	0.2655432	-0.1068435	0.3333759
ENSG00000250328	ENSG00000182872	0.03375581	0.5997747	-0.05032351	0.5248044	-0.09587766	0.3856312
ENSG00000225383	ENSG00000004534	0.1002142	0.1184551	0.2315338	0.003031601	0.007270095	0.9476692
ENSG00000235997	ENSG00000004534	0.05299006	0.4099056	0.07675816	0.3316281	-0.04172337	0.706296
ENSG00000250328	ENSG00000004534	0.2112978	0.0008962927	0.1453499	0.06496628	0.08792183	0.4264481
ENSG00000259033	ENSG00000004534	0.09860889	0.1244999	0.02359721	0.765658	0.2405887	0.02749053
ENSG00000251562	ENSG00000145491	-0.03352179	0.6023078	-0.05808692	0.4628141	-0.09935358	0.36856
ENSG00000268388	ENSG00000164265	0.1910416	0.002731084	0.2619743	0.00075831	0.02746895	0.80411
ENSG00000268388	ENSG00000099937	0.08043758	0.2105506	-0.007715056	0.9223788	0.1468396	0.1825713
ENSG00000251562	ENSG00000139874	0.01565018	0.8078325	-0.007683326	0.9226971	0.2545904	0.01943673
ENSG00000268388	ENSG00000139874	0.1622421	0.01114475	0.2095188	0.007453887	0.02457451	0.8244013
ENSG00000175061	ENSG00000270647	-0.06830393	0.2879161	0.258643	0.0008898217	-0.0317054	0.7746463
ENSG00000247092	ENSG00000270647	0.2211794	0.0005006742	0.1748107	0.02608744	0.1552176	0.1585876
ENSG00000232956	ENSG00000270647	0.2395476	0.0001582275	0.1784087	0.0231202	0.3351543	0.00183091
ENSG00000247556	ENSG00000270647	0.2741526	1.399591e-05	0.3159643	4.206131e-05	0.2832679	0.009027672
ENSG00000270681	ENSG00000270647	-0.2397921	0.0001557229	-0.2019729	0.009954434	-0.1451218	0.1877989
ENSG00000257497	ENSG00000270647	0.3121514	6.49752e-07	0.2173553	0.0054635	0.2167108	0.04770086
ENSG00000261824	ENSG00000270647	-0.01536707	0.811243	0.2469023	0.001538067	0.1946986	0.07594245
ENSG00000260808	ENSG00000270647	0.05357835	0.4047198	0.222096	0.004504364	0.2488773	0.02243822
ENSG00000261610	ENSG00000270647	0.04631881	0.4714054	0.1477476	0.06061831	0.1088829	0.3241772
ENSG00000271533	ENSG00000270647	0.3532106	1.404013e-08	0.2829717	0.0002636603	0.32054	0.002952528
ENSG00000232677	ENSG00000270647	0.1057455	0.09936515	0.212183	0.006714693	0.2852091	0.008546607
ENSG00000234912	ENSG00000270647	0.3734801	1.708353e-09	0.443495	3.409739e-09	0.4213048	6.582188e-05
ENSG00000236618	ENSG00000270647	0.3796514	8.734316e-10	0.3476819	5.80853e-06	0.328352	0.002293562
ENSG00000251022	ENSG00000270647	0.3669515	3.421402e-09	0.3451107	6.876102e-06	0.3442727	0.00134286
ENSG00000234072	ENSG00000270647	0.3701351	2.443195e-09	0.3666303	1.598863e-06	0.3722795	0.0004882791
ENSG00000236194	ENSG00000270647	0.3081568	9.162321e-07	0.3025946	9.088085e-05	0.3514827	0.001043995
ENSG00000266579	ENSG00000270647	0.06702198	0.2970809	0.2024942	0.009760484	0.06114836	0.5805688
ENSG00000244151	ENSG00000270647	0.327491	1.65555e-07	0.1869077	0.01723991	0.2733507	0.01187375
ENSG00000261270	ENSG00000270647	-0.1089234	0.08955394	-0.1900388	0.01542754	-0.1408186	0.2013684
ENSG00000232098	ENSG00000270647	0.2910809	3.764132e-06	0.2587724	0.0008843443	0.3595358	0.0007825634
ENSG00000267152	ENSG00000270647	0.1459305	0.02260641	0.218956	0.00512096	0.1521964	0.1669508
ENSG00000186019	ENSG00000270647	0.1618067	0.01136651	0.1588583	0.04347484	0.2738358	0.01171824
ENSG00000267454	ENSG00000270647	-0.03689031	0.5663189	-0.02956166	0.708831	0.03779139	0.7328808
ENSG00000231607	ENSG00000270647	0.2153654	0.0007074688	0.1210403	0.1249536	0.2220148	0.04238542
ENSG00000259768	ENSG00000270647	0.247498	9.339128e-05	0.2965817	0.0001269897	0.2171219	0.04727011
ENSG00000261864	ENSG00000270647	0.1330096	0.03787161	-0.001789795	0.9819662	0.276811	0.01080267
ENSG00000268205	ENSG00000270647	0.382026	6.721863e-10	0.1553114	0.04844145	0.5355973	1.52367e-07
ENSG00000226950	ENSG00000270647	0.0006724769	0.9916619	0.07608662	0.3358882	-0.09352211	0.3974648
ENSG00000206573	ENSG00000270647	0.2576865	4.630633e-05	0.1735424	0.0272084	0.2713021	0.01255049
ENSG00000175611	ENSG00000270647	0.04076288	0.5262568	0.197923	0.01158075	0.04293821	0.6981511
ENSG00000175061	ENSG00000270647	-0.06830393	0.2879161	0.258643	0.0008898217	-0.0317054	0.7746463
ENSG00000269893	ENSG00000270647	0.2992088	1.942935e-06	0.2654467	0.0006404552	0.1659871	0.1313011
ENSG00000225439	ENSG00000270647	0.1833493	0.004056921	0.3143676	4.620485e-05	0.278962	0.01018019
ENSG00000230551	ENSG00000270647	0.3083573	9.006716e-07	0.1275234	0.1058462	0.3216027	0.002853909
ENSG00000237298	ENSG00000270647	0.3374122	6.562656e-08	0.3984525	1.510184e-07	0.3540757	0.000952244
ENSG00000233016	ENSG00000270647	0.3114433	6.908228e-07	0.3881565	3.330451e-07	0.1466358	0.1831859
ENSG00000234753	ENSG00000270647	0.2274629	0.0003410962	0.2199728	0.004913476	0.3731649	0.0004721958
ENSG00000245532	ENSG00000270647	0.1938696	0.002352461	0.1148291	0.1456594	0.2401202	0.02780282
ENSG00000242125	ENSG00000270647	0.2450624	0.0001099673	0.1936259	0.01355741	0.2519681	0.02076871
ENSG00000163597	ENSG00000270647	0.1572077	0.01395739	0.3544014	3.711051e-06	0.1471256	0.1817115
ENSG00000234936	ENSG00000270647	0.2455494	0.0001064464	0.2526336	0.001181216	0.2183413	0.04601128
ENSG00000253716	ENSG00000270647	0.156838	0.01418655	0.2223122	0.00446446	0.05865642	0.5961144
ENSG00000234741	ENSG00000270647	0.07196283	0.2628094	0.2143958	0.006151158	0.02948296	0.7900661
ENSG00000234327	ENSG00000270647	0.002542552	0.9684821	0.2802601	0.0003036436	0.1704796	0.1210376
ENSG00000257621	ENSG00000270647	0.31902	3.555817e-07	0.2994477	0.0001083707	0.3209603	0.002913167
ENSG00000257698	ENSG00000270647	0.1219105	0.05722037	0.3204287	3.225173e-05	-0.07758833	0.4829835
ENSG00000263272	ENSG00000270647	0.3903351	2.643878e-10	0.4161919	3.625018e-08	0.5040784	1.016656e-06
ENSG00000255717	ENSG00000270647	0.2925614	3.341993e-06	0.3566507	3.186879e-06	0.3353445	0.001819275
ENSG00000267575	ENSG00000270647	0.08760552	0.1725553	0.3039098	8.438532e-05	0.244997	0.0246951
ENSG00000234456	ENSG00000270647	-0.01176464	0.8549296	-0.1004541	0.2034121	-0.1298385	0.2391359
ENSG00000245694	ENSG00000270647	0.2355166	0.0002053428	0.2138979	0.006274134	0.1988275	0.06981217
ENSG00000251562	ENSG00000270647	0.2389625	0.0001643732	0.246414	0.001572615	0.3844207	0.0003058944
ENSG00000244879	ENSG00000270647	0.2365726	0.0001918722	0.2359358	0.002506895	0.3501287	0.001095031
ENSG00000261326	ENSG00000270647	0.2885697	4.598637e-06	0.2384892	0.002241691	0.26505	0.01482716
ENSG00000225733	ENSG00000270647	0.1072694	0.09455883	0.2411494	0.001992709	-0.1076226	0.3298422
ENSG00000269609	ENSG00000270647	0.05858759	0.3621631	0.3308106	1.710949e-05	0.09539644	0.3880314
ENSG00000259943	ENSG00000270647	0.117799	0.06620527	0.184407	0.01881753	0.1391261	0.2068935
ENSG00000260924	ENSG00000270647	0.265536	2.643458e-05	0.1413895	0.07270382	0.175711	0.1098754
ENSG00000260196	ENSG00000270647	0.2611856	3.614583e-05	0.2907222	0.0001747118	0.3397252	0.0015692
ENSG00000177410	ENSG00000270647	0.05434726	0.3980009	0.1906609	0.01508794	0.2675698	0.01386991
ENSG00000264112	ENSG00000270647	0.4420936	4.257517e-13	0.3256626	2.349693e-05	0.4022401	0.000148912
ENSG00000204934	ENSG00000270647	0.1298506	0.0427133	0.271738	0.0004688788	0.2145267	0.05004392
ENSG00000229807	ENSG00000270647	0.09881259	0.12372	0.09300746	0.2391243	-0.04615708	0.6767368
ENSG00000267321	ENSG00000270647	0.1201386	0.0609606	0.2969651	0.0001243365	0.1095182	0.321345
ENSG00000268061	ENSG00000270647	-0.1153117	0.07218028	-0.05877852	0.4574951	-0.2007417	0.06710862
ENSG00000260032	ENSG00000270647	0.2878981	4.850089e-06	0.187499	0.01688411	0.5221497	3.50567e-07
ENSG00000259820	ENSG00000270647	0.3013035	1.633077e-06	0.170949	0.02962912	0.2968188	0.006112091
ENSG00000225383	ENSG00000148737	0.1336368	0.03696766	0.006481386	0.9347607	-0.04811196	0.6638542
ENSG00000251562	ENSG00000166292	-0.002431742	0.9698551	0.08312616	0.2929594	0.04072344	0.7130249
ENSG00000268388	ENSG00000127324	0.08070333	0.2090424	-0.08532116	0.2803553	-0.05579047	0.6142197
ENSG00000186594	ENSG00000063244	-0.08563299	0.1824625	-0.1065354	0.1772348	-0.1487021	0.177024
ENSG00000186594	ENSG00000005007	-0.06501487	0.3118153	-0.0337029	0.6702775	-0.05770593	0.6020926
ENSG00000260948	ENSG00000005007	0.3338743	9.16247e-08	0.2751304	0.0003950685	0.4795434	3.926413e-06
ENSG00000225383	ENSG00000136709	-0.06000818	0.3506208	-0.01653827	0.8345402	-0.1610733	0.1432712
ENSG00000250328	ENSG00000136709	0.03786793	0.5560694	-0.05310249	0.5021414	-0.03958526	0.7207109
ENSG00000260948	ENSG00000136709	0.3961761	1.350567e-10	0.0725097	0.3591641	0.2927194	0.006890782
ENSG00000186594	ENSG00000100403	-0.0819679	0.2019722	-0.04143406	0.600619	0.127493	0.2478008
ENSG00000245694	ENSG00000066185	0.138883	0.03009762	-0.0008923844	0.9910078	-0.03435659	0.7563657
