lnc	gene	Stg I $estimate	Stg I $p.value	Stg II $estimate	Stg II $p.value	Stg III $estimate	Stg III $p.value
ENSG00000245694	ENSG00000143322	0.3108851	3.495006e-05	0.1708404	0.1157857	0.2747837	0.01092575
ENSG00000251562	ENSG00000099204	0.1397481	0.06830391	0.05354232	0.6244052	0.1567907	0.1518534
ENSG00000245694	ENSG00000159842	0.1407253	0.06637672	0.2191057	0.04267575	0.05753775	0.6009387
ENSG00000245694	ENSG00000146386	0.1166331	0.1287175	0.4085382	9.421467e-05	0.1217146	0.2671412
ENSG00000268388	ENSG00000146386	0.06747684	0.3805398	0.3780345	0.0003324738	0.2424366	0.02538296
ENSG00000251562	ENSG00000278540	0.1461649	0.05644379	0.3236503	0.002367725	0.0373872	0.7340764
ENSG00000245694	ENSG00000278540	0.2818097	0.0001884024	0.1320744	0.2254347	0.0726425	0.5088123
ENSG00000245694	ENSG00000151498	0.1789857	0.01916419	0.00270193	0.9803022	0.04072679	0.7113255
ENSG00000245694	ENSG00000177646	0.1952476	0.01049298	0.1790668	0.09901246	0.1441228	0.1881894
ENSG00000268388	ENSG00000131584	0.09384142	0.2221499	0.1970559	0.0689791	-0.1131796	0.302385
ENSG00000245694	ENSG00000120437	0.1236863	0.1070184	-0.0251145	0.8184567	-0.1497596	0.171312
ENSG00000268388	ENSG00000078124	0.2061997	0.006814536	0.3179439	0.002852852	0.3211289	0.00272989
ENSG00000251562	ENSG00000078124	0.307228	4.363129e-05	0.2357279	0.02889229	0.3159186	0.003226136
ENSG00000245694	ENSG00000078124	0.1097512	0.1530108	0.2689589	0.0122781	0.07402308	0.5007699
ENSG00000245532	ENSG00000100813	0.4605552	2.324816e-10	0.3173962	0.002903805	0.2953239	0.006070948
ENSG00000251562	ENSG00000100813	0.498162	4.120368e-12	0.4040921	0.0001140971	0.3995154	0.0001519706
ENSG00000251562	ENSG00000131473	0.2642792	0.0004778744	0.2129437	0.04901027	0.1560525	0.153815
ENSG00000268388	ENSG00000131473	0.0743743	0.3336558	0.1589482	0.1438052	0.1772808	0.104561
ENSG00000268388	ENSG00000097021	-0.03260738	0.6720166	0.3747291	0.0003784159	0.1351663	0.2174306
ENSG00000251562	ENSG00000143727	0.3039591	5.307038e-05	0.06529852	0.5502868	0.1618847	0.1388234
ENSG00000268388	ENSG00000143727	-0.05156587	0.5029782	0.2591991	0.01595776	0.1295719	0.2372468
ENSG00000245694	ENSG00000102575	0.002897754	0.9699945	0.1227763	0.2600867	-0.162076	0.138351
ENSG00000245694	ENSG00000111644	-0.00419229	0.956601	0.2130584	0.04888572	0.1488581	0.1739335
ENSG00000245694	ENSG00000123983	0.1249163	0.1035473	0.06523709	0.5506627	0.2190516	0.04398992
ENSG00000251562	ENSG00000131069	-0.03135374	0.6839373	-0.1150463	0.291521	-0.180039	0.09918777
ENSG00000245532	ENSG00000184009	0.3615342	1.18368e-06	0.1004073	0.3576559	0.2263307	0.03726209
ENSG00000268388	ENSG00000072110	0.3397565	5.460114e-06	0.596504	1.35696e-09	0.05780039	0.5992755
ENSG00000245532	ENSG00000130402	0.274342	0.000282222	0.09271819	0.3958355	0.1737091	0.111853
ENSG00000251562	ENSG00000130402	0.3309628	9.805998e-06	0.2775006	0.009687316	0.2030263	0.06238431
ENSG00000268388	ENSG00000138107	0.1230996	0.1087061	0.2953395	0.005768532	0.1164161	0.288679
ENSG00000245694	ENSG00000138107	0.2002552	0.008636289	0.3290146	0.001980715	0.2439714	0.0244414
ENSG00000245694	ENSG00000138071	0.2385371	0.001678675	0.294963	0.005833939	0.3067738	0.004295075
ENSG00000268388	ENSG00000115091	0.2223744	0.003463578	0.6223235	1.590903e-10	0.2762463	0.01049248
ENSG00000245694	ENSG00000115091	0.3493713	2.819424e-06	0.4347294	2.883289e-05	0.2430902	0.02497829
ENSG00000268388	ENSG00000113812	0.06253171	0.4165013	0.3082957	0.003878526	0.2615224	0.01562093
ENSG00000245694	ENSG00000184378	0.02558523	0.7397603	0.0617025	0.572502	0.1586484	0.1469996
ENSG00000268388	ENSG00000115170	0.2133024	0.005092193	0.5064665	6.515699e-07	0.2515904	0.02019529
ENSG00000245694	ENSG00000121989	0.3979784	7.029327e-08	0.3437258	0.001194174	0.4070882	0.0001104227
ENSG00000268388	ENSG00000121989	0.2371147	0.001792672	0.3651346	0.0005467617	0.2435685	0.02468564
ENSG00000245694	ENSG00000196839	0.1224031	0.1107366	0.3322919	0.00177331	0.03601943	0.7434621
ENSG00000268388	ENSG00000137845	0.1818683	0.01728059	0.2355688	0.02900382	0.3074501	0.004206391
ENSG00000245694	ENSG00000148848	0.04034249	0.6003547	0.4510831	1.308158e-05	-0.0001518221	0.9988997
ENSG00000268388	ENSG00000151694	0.2707013	0.0003422663	0.6275509	1.006146e-10	0.448063	1.707776e-05
ENSG00000245694	ENSG00000160323	-0.009098537	0.9059816	-0.04188566	0.7017822	0.0189833	0.8630905
ENSG00000245694	ENSG00000087116	-0.1211968	0.1143232	0.2525025	0.01900209	0.01790015	0.8708328
ENSG00000268388	ENSG00000154736	0.2699823	0.0003554437	0.4308495	3.457506e-05	0.1665143	0.1277311
ENSG00000251562	ENSG00000163638	0.4271615	5.658965e-09	0.1904146	0.07907159	0.2311562	0.03329415
ENSG00000268388	ENSG00000163638	0.1378976	0.07207864	0.2208345	0.04102593	0.08813822	0.4224804
ENSG00000245694	ENSG00000143382	-0.03506384	0.6488962	0.1128029	0.3010947	-0.09505906	0.3868265
ENSG00000245694	ENSG00000065457	0.376202	3.958674e-07	0.1937644	0.07384285	0.2627233	0.01513376
ENSG00000268388	ENSG00000133597	-0.04798519	0.5331238	0.112728	0.3014181	-0.04434254	0.6869753
ENSG00000245532	ENSG00000133597	0.09585754	0.2123315	-0.09840912	0.3673517	-0.0265812	0.8091826
ENSG00000245532	ENSG00000129467	0.1820731	0.01715316	0.07564074	0.4888171	0.1692134	0.1215842
ENSG00000251562	ENSG00000129467	0.2528518	0.0008480947	0.3097525	0.003705131	0.07683044	0.4846222
ENSG00000245694	ENSG00000020181	-0.066784	0.3854611	0.08231292	0.4511804	0.08265988	0.4519963
ENSG00000245694	ENSG00000205336	0.3029212	5.644769e-05	0.1406948	0.1963243	0.1578748	0.1490065
ENSG00000268388	ENSG00000187758	-0.005561867	0.9424444	-0.1274856	0.2421086	-0.07149915	0.5155227
ENSG00000268388	ENSG00000147576	-0.1105748	0.1499337	-0.1631405	0.1333971	-0.1799254	0.09940476
ENSG00000251562	ENSG00000147576	-0.110017	0.1520123	-0.17157	0.1142147	-0.1204033	0.2723677
ENSG00000245532	ENSG00000147576	0.0462165	0.5483415	0.05214656	0.6334792	-0.1153469	0.2931604
ENSG00000245694	ENSG00000182551	-0.003895733	0.9596683	-0.04160907	0.7036596	0.01067976	0.9227205
ENSG00000240498	ENSG00000159346	0.1111733	0.1477266	0.08483759	0.4373709	0.1018146	0.3538238
ENSG00000245694	ENSG00000156110	-0.0621888	0.4190665	0.014749	0.8927839	-0.09114011	0.4067891
ENSG00000268388	ENSG00000181915	0.2934675	9.797019e-05	0.5685053	1.130167e-08	0.1975663	0.06992276
ENSG00000245694	ENSG00000163485	0.2464833	0.00115472	0.2360675	0.02865562	0.2513425	0.02032274
ENSG00000268388	ENSG00000170425	0.05032871	0.5132919	0.8293117	6.111839e-23	0.2286562	0.03530311
ENSG00000245694	ENSG00000170222	0.08285111	0.2813348	0.159576	0.1422089	0.1815423	0.09635184
ENSG00000251562	ENSG00000130706	0.1736204	0.02314667	0.1437938	0.1865508	-0.01194088	0.9136282
ENSG00000245532	ENSG00000130706	0.1341373	0.08027009	-0.04087006	0.7086845	-0.03051642	0.781591
ENSG00000245694	ENSG00000106624	-0.1218834	0.112271	0.001079436	0.99213	-0.09126702	0.4061333
ENSG00000245694	ENSG00000181026	0.1581163	0.03887716	0.2723536	0.01118399	-0.07305908	0.5063786
ENSG00000268388	ENSG00000196526	0.365254	9.011861e-07	0.2566012	0.01708471	0.4596943	9.608852e-06
ENSG00000268388	ENSG00000084693	-0.09120711	0.2354587	0.2647141	0.0137763	0.1034255	0.3462198
ENSG00000251562	ENSG00000084693	0.2105191	0.005714215	0.1201443	0.2705203	0.1598739	0.143862
ENSG00000245532	ENSG00000084693	0.3464915	3.444539e-06	0.08215244	0.4520664	0.05998039	0.5855504
ENSG00000251562	ENSG00000204305	0.4967701	4.826475e-12	0.2664315	0.01315207	0.373177	0.0004355403
ENSG00000268388	ENSG00000164252	0.01362262	0.8596336	0.09864702	0.366189	0.1976474	0.06980568
ENSG00000268388	ENSG00000123908	0.1037144	0.1770358	0.1025424	0.3474723	0.1152641	0.2935096
ENSG00000251562	ENSG00000123908	0.3332856	8.415468e-06	0.1716023	0.1141456	0.3591838	0.0007357943
ENSG00000268388	ENSG00000204310	-0.103664	0.1772478	0.08878833	0.416248	-0.06731259	0.5404732
ENSG00000251562	ENSG00000204310	0.03090674	0.6882069	-0.07296398	0.5043701	0.05422107	0.6221152
ENSG00000245694	ENSG00000204310	0.1826354	0.01680734	0.1207313	0.2681692	0.1277701	0.243888
ENSG00000245694	ENSG00000188157	0.2832959	0.0001736062	0.1014615	0.352605	0.279194	0.00966464
ENSG00000245694	ENSG00000135049	0.1416184	0.06465425	0.3736045	0.0003953297	0.08182153	0.4566119
ENSG00000268388	ENSG00000177674	0.06054651	0.431479	0.1718167	0.1136873	0.3030023	0.004820821
ENSG00000251562	ENSG00000135541	0.3623622	1.114305e-06	0.2476998	0.02148116	0.4919158	1.742405e-06
ENSG00000245694	ENSG00000106546	0.2853929	0.000154564	0.5035069	7.753382e-07	0.2106983	0.05292053
ENSG00000251562	ENSG00000100591	0.01820021	0.8132211	-0.03422527	0.7544027	-0.02028565	0.8537983
ENSG00000245694	ENSG00000156709	0.08260644	0.2827629	0.07489962	0.4930977	-0.1922653	0.07792755
ENSG00000245694	ENSG00000042286	0.1636241	0.03248416	0.2044946	0.05893666	0.2405152	0.02660496
ENSG00000268388	ENSG00000164022	-0.06403938	0.4053322	0.1065508	0.3288485	0.04818746	0.6614276
ENSG00000245694	ENSG00000164022	0.4165754	1.451329e-08	0.3130165	0.003341507	0.09062988	0.4094318
ENSG00000245694	ENSG00000162433	0.03001045	0.6967976	0.01962989	0.8576286	0.004018772	0.9708815
ENSG00000245694	ENSG00000154027	0.1079442	0.1599292	0.4032546	0.0001182519	0.1007551	0.3588805
ENSG00000245694	ENSG00000131016	0.042451	0.5814308	0.1821282	0.0932806	-0.002561459	0.9814382
ENSG00000251562	ENSG00000105127	0.4568357	3.375384e-10	0.2440451	0.02354837	0.4119204	8.970215e-05
ENSG00000245532	ENSG00000105127	0.3715778	5.62414e-07	0.1808423	0.09565542	0.3028385	0.004844898
ENSG00000245694	ENSG00000011243	0.3470418	3.315729e-06	0.3463529	0.001088168	0.1909694	0.07999189
ENSG00000245694	ENSG00000166452	0.2469785	0.001127654	0.3425346	0.001245261	0.2439812	0.02443551
ENSG00000268388	ENSG00000162482	0.007825633	0.9190866	-0.1222297	0.2622306	-0.01705009	0.8769177
ENSG00000251562	ENSG00000204673	0.1470892	0.05488462	0.02493237	0.8197509	0.1288508	0.2398895
ENSG00000245532	ENSG00000204673	0.1350385	0.07824158	-0.1896887	0.08024274	-0.08856736	0.4202161
ENSG00000245694	ENSG00000166971	0.1680138	0.02804977	0.03876034	0.7230976	0.07784805	0.4788382
ENSG00000245694	ENSG00000165092	0.08402022	0.2745776	0.04737462	0.6649067	0.1252887	0.2532421
ENSG00000245694	ENSG00000184254	0.09679465	0.2078751	-0.01998224	0.8551007	0.03431519	0.7552093
ENSG00000268388	ENSG00000137124	0.02727312	0.7232696	-0.08444618	0.4394961	-0.05809481	0.5974135
ENSG00000268388	ENSG00000111275	-0.01805617	0.8146726	-0.1256765	0.2489106	-0.1027965	0.3491767
ENSG00000245694	ENSG00000006534	0.1369735	0.0740259	0.1932329	0.07465343	0.2411528	0.02619403
ENSG00000268388	ENSG00000159423	-0.04974696	0.5181791	-0.1845963	0.08885262	-0.1448472	0.1859554
ENSG00000268388	ENSG00000119711	-0.004448852	0.9539479	-0.1580893	0.1460112	-0.1195292	0.2758894
ENSG00000245532	ENSG00000149925	0.4049848	3.923557e-08	0.04667986	0.6695326	0.2340552	0.03108559
ENSG00000245694	ENSG00000149925	0.4293183	4.65225e-09	0.2468883	0.02192627	0.1360621	0.2143693
ENSG00000245694	ENSG00000109107	-0.007343399	0.9240572	-0.1051254	0.3353971	-0.07119147	0.5173362
ENSG00000268388	ENSG00000172339	-0.04544133	0.5550773	-0.07762916	0.4774301	-0.004773596	0.9654154
ENSG00000251562	ENSG00000100601	0.07067644	0.3583127	0.05395639	0.6217238	0.255548	0.01825081
ENSG00000245532	ENSG00000160993	0.141682	0.06453296	-0.08671296	0.4272695	-0.03889734	0.7237588
ENSG00000213742	ENSG00000091542	0.2992279	7.017439e-05	0.161316	0.1378541	0.2991636	0.005413897
ENSG00000249492	ENSG00000091542	0.0630739	0.4124641	0.2921121	0.006350901	0.3586758	0.0007496031
ENSG00000255717	ENSG00000091542	0.1417959	0.06431632	0.1806447	0.09602448	0.1452638	0.1846794
ENSG00000245694	ENSG00000091542	0.134272	0.07996435	0.3510366	0.0009201429	0.1606221	0.1419713
ENSG00000234350	ENSG00000091542	0.2883614	0.0001309183	0.02813753	0.7970481	0.09742312	0.3750734
ENSG00000233016	ENSG00000091542	0.1732571	0.02344042	0.07383729	0.4992679	0.1478217	0.1769838
ENSG00000261188	ENSG00000091542	0.154356	0.0438252	0.2469055	0.02191672	0.07660729	0.4858955
ENSG00000125462	ENSG00000091542	0.04156758	0.5893258	0.07320717	0.5029466	-0.1087859	0.3216604
ENSG00000261824	ENSG00000091542	0.1407523	0.06632396	0.4370505	2.583685e-05	0.03988818	0.7170157
ENSG00000214719	ENSG00000091542	0.1315068	0.08643418	0.2403402	0.0258146	0.183645	0.09249226
ENSG00000268388	ENSG00000123505	0.2255276	0.003018651	0.5160887	3.659458e-07	0.2616887	0.01555267
ENSG00000245694	ENSG00000159461	0.2568844	0.0006947065	0.007147455	0.9479243	0.121865	0.2665464
ENSG00000245694	ENSG00000101935	0.4225945	8.529629e-09	0.529469	1.592016e-07	0.1715647	0.1164167
ENSG00000268388	ENSG00000101935	0.1476882	0.05389337	0.6023586	8.4868e-10	0.1253426	0.2530361
ENSG00000268388	ENSG00000144233	0.133543	0.0816309	0.260395	0.01546093	0.1869402	0.08669009
ENSG00000251562	ENSG00000144233	0.546043	1.125394e-14	0.3218904	0.002508775	0.3721056	0.0004537633
ENSG00000245694	ENSG00000133805	0.1306714	0.08846907	0.2787097	0.009362285	0.1789345	0.101313
ENSG00000251562	ENSG00000078053	0.3696925	6.479751e-07	0.06031375	0.5811919	0.1990616	0.06778878
ENSG00000245694	ENSG00000145020	0.270731	0.0003417322	0.337971	0.001459827	0.1269345	0.2470107
ENSG00000251562	ENSG00000196704	0.2726822	0.0003082681	0.2006304	0.06399343	0.2187803	0.04425892
ENSG00000251562	ENSG00000164162	0.296956	8.011213e-05	0.2757804	0.01016677	0.3033604	0.004768566
ENSG00000268388	ENSG00000141552	-0.1682808	0.02779758	0.06768046	0.535805	-0.0936566	0.393902
ENSG00000268388	ENSG00000129055	-0.01596058	0.8358583	0.3318469	0.001800268	0.2429533	0.02506262
ENSG00000251562	ENSG00000129055	0.05721296	0.4573133	0.1348713	0.2156756	0.2107667	0.05284181
ENSG00000268388	ENSG00000196510	-0.06884253	0.3709517	0.44192	2.047107e-05	0.09717279	0.3763076
ENSG00000245694	ENSG00000196510	0.3722777	5.334869e-07	0.4551098	1.070069e-05	0.262197	0.01534564
ENSG00000130600	ENSG00000214274	-0.09466666	0.2180928	-0.08484511	0.4373301	-0.1478318	0.1769541
ENSG00000245532	ENSG00000214274	-0.2228855	0.003387663	-0.09417683	0.3884129	-0.2461416	0.0231609
ENSG00000245694	ENSG00000214274	-0.04234324	0.5823912	-0.1815323	0.09437528	-0.2252301	0.0382204
ENSG00000245694	ENSG00000167772	-0.05190191	0.5001956	-0.05358969	0.6240981	-0.1160325	0.2902813
ENSG00000245694	ENSG00000185722	0.08377726	0.2759727	0.257985	0.01647618	0.1247854	0.2551687
ENSG00000268388	ENSG00000001629	0.130304	0.08937601	0.4902078	1.660622e-06	0.1406998	0.1990085
ENSG00000268388	ENSG00000176915	0.1078549	0.1602771	0.4558663	1.03014e-05	0.2563873	0.01785983
ENSG00000245694	ENSG00000106524	0.2970903	7.948981e-05	0.5094453	5.460332e-07	0.2724002	0.01166532
ENSG00000251562	ENSG00000088448	0.3962272	8.115234e-08	0.324514	0.002301153	0.4642058	7.643942e-06
ENSG00000251562	ENSG00000167522	0.4483677	7.759047e-10	0.463621	6.939404e-06	0.3097462	0.003917344
ENSG00000245532	ENSG00000167522	0.435884	2.5408e-09	0.2045721	0.05883866	0.4468452	1.811575e-05
ENSG00000251562	ENSG00000172932	0.5241671	1.873165e-13	0.5909622	2.097821e-09	0.465427	7.18092e-06
ENSG00000245532	ENSG00000172932	0.4885353	1.212743e-11	0.2166908	0.04507215	0.4605855	9.186646e-06
ENSG00000251562	ENSG00000134461	0.3360278	7.014168e-06	0.2537208	0.01841378	0.2932824	0.006448209
ENSG00000268388	ENSG00000105186	0.0671306	0.3829943	0.09143055	0.4024575	0.2179171	0.04512399
ENSG00000245694	ENSG00000198483	-0.07606842	0.322731	0.05177131	0.6359281	-0.1728345	0.1136973
ENSG00000245694	ENSG00000186352	0.3511006	2.497574e-06	0.02146747	0.844461	0.01767831	0.8724201
ENSG00000268388	ENSG00000213337	-0.1224057	0.110729	0.01146376	0.9165676	0.01590782	0.8851054
ENSG00000245532	ENSG00000213337	0.1924993	0.01165475	0.08905706	0.414833	0.02407601	0.8268721
ENSG00000245694	ENSG00000213337	0.1680925	0.02797518	0.09544814	0.3820119	0.1509529	0.1678863
ENSG00000245694	ENSG00000139645	0.22531	0.003047619	0.5342337	1.173345e-07	0.3202523	0.00280826
ENSG00000245694	ENSG00000100124	0.1987956	0.00914483	0.4288344	3.796205e-05	0.2402418	0.02678284
ENSG00000268388	ENSG00000064999	0.2558668	0.0007307948	0.1839976	0.0899111	0.2210649	0.04203541
ENSG00000245532	ENSG00000168096	0.6398313	4.497595e-21	0.2731312	0.01094568	0.1799785	0.09930334
ENSG00000245694	ENSG00000163516	0.3758008	4.082016e-07	0.2545181	0.0180373	0.3088591	0.004026853
ENSG00000245694	ENSG00000011426	0.3277544	1.208773e-05	0.4687396	5.31815e-06	0.1647067	0.1319785
ENSG00000268388	ENSG00000011426	-0.05884472	0.4445614	0.4631627	7.105257e-06	0.1530111	0.162097
ENSG00000251562	ENSG00000011426	0.197882	0.009476446	0.2372891	0.02781753	0.3925102	0.0002028336
ENSG00000251562	ENSG00000136938	0.06162077	0.4233359	0.06389153	0.5589289	0.1801285	0.09901711
ENSG00000251562	ENSG00000143401	0.2809849	0.0001971134	0.2727492	0.01106219	0.3256805	0.002353624
ENSG00000268388	ENSG00000143401	-0.03334559	0.6650349	0.1596411	0.142044	0.1095487	0.3182589
ENSG00000245694	ENSG00000135046	0.0662475	0.3892982	0.4692874	5.167517e-06	0.07395325	0.5011751
ENSG00000245694	ENSG00000109511	-0.122267	0.1111369	-0.1842425	0.08947693	-0.1048034	0.3397975
ENSG00000268388	ENSG00000109511	-0.01161269	0.8801754	-0.1052556	0.3347957	0.1222353	0.2650848
ENSG00000268388	ENSG00000138660	0.02757482	0.7203352	0.04726813	0.665615	0.2224054	0.0407745
ENSG00000245694	ENSG00000166747	0.3046071	5.105897e-05	0.2434763	0.02388484	0.3438695	0.00127191
ENSG00000268388	ENSG00000152056	0.08487786	0.2696911	0.06983913	0.5228456	0.4138282	8.256369e-05
ENSG00000268388	ENSG00000196961	0.1069731	0.1637428	0.2216407	0.04027492	-0.1523251	0.1640099
ENSG00000251562	ENSG00000196961	0.1777747	0.02000705	0.08869985	0.4167145	0.1335271	0.2231115
ENSG00000245532	ENSG00000196961	0.102845	0.1807135	-0.06961051	0.5242106	0.08254937	0.4526032
ENSG00000251562	ENSG00000183020	0.2559082	0.0007292958	0.3303013	0.001896811	0.2998707	0.005300033
ENSG00000251562	ENSG00000006125	0.2826695	0.0001797057	0.1424099	0.1908708	0.2027966	0.06268763
ENSG00000245694	ENSG00000161203	0.4457684	9.972322e-10	0.501035	8.954345e-07	0.2439501	0.02445426
ENSG00000268388	ENSG00000161203	0.0221223	0.7739592	0.8737083	5.091131e-28	0.1024892	0.3506268
ENSG00000268388	ENSG00000132842	0.07169347	0.3514207	0.1232801	0.2581209	0.1439078	0.1888559
ENSG00000245694	ENSG00000132842	0.4919654	8.28699e-12	0.3033319	0.004524988	0.2427028	0.02521751
ENSG00000251562	ENSG00000070718	0.4780935	3.767452e-11	0.4709036	4.74616e-06	0.2682135	0.01307029
ENSG00000268388	ENSG00000070718	0.2022634	0.007977614	0.400211	0.0001345595	0.1098058	0.3171176
ENSG00000245694	ENSG00000011132	0.2326386	0.002198967	0.3050797	0.004287173	0.0738846	0.5015736
ENSG00000245694	ENSG00000134982	0.136573	0.07488312	0.2160372	0.04573958	0.1197234	0.2751042
ENSG00000251562	ENSG00000154856	0.02084377	0.7867003	-0.01634954	0.8812296	0.06415753	0.5596599
ENSG00000245694	ENSG00000164062	0.08542485	0.2666056	0.07067047	0.5178973	-0.04692829	0.6697534
ENSG00000245694	ENSG00000166181	0.2305415	0.002416693	0.3366035	0.001530341	0.2676632	0.01326548
ENSG00000245694	ENSG00000105290	0.05752567	0.4548539	0.4737941	4.071993e-06	0.1972876	0.07032633
ENSG00000268388	ENSG00000105290	-0.01947939	0.8003595	0.7324181	1.111942e-15	-0.007354309	0.9467406
ENSG00000245694	ENSG00000244509	0.08739149	0.2557114	0.4160837	6.765426e-05	0.0157199	0.8864535
ENSG00000245532	ENSG00000130208	-0.1664706	0.02954584	-0.3023134	0.004668907	-0.2655733	0.01402995
ENSG00000251562	ENSG00000130208	-0.1305505	0.0887668	-0.304129	0.004415116	-0.2650482	0.01422791
ENSG00000245694	ENSG00000110245	-0.2772716	0.0002411745	-0.2851563	0.00778558	-0.2155241	0.04759577
ENSG00000245694	ENSG00000157500	0.1787949	0.01929489	0.3086573	0.003834817	0.2589235	0.01672174
ENSG00000268388	ENSG00000137074	-0.08718041	0.2568657	0.1533392	0.1586719	0.08189146	0.4562259
ENSG00000251562	ENSG00000021776	0.2845577	0.0001619021	0.2978142	0.005354548	0.511232	5.741959e-07
ENSG00000245694	ENSG00000021776	0.2080161	0.006330689	0.1638774	0.1316286	0.1851563	0.08979431
ENSG00000224843	ENSG00000169083	-0.0454275	0.5551979	-0.02877265	0.7925687	-0.004552281	0.9670179
ENSG00000229140	ENSG00000169083	0.1686165	0.02748332	-0.03165105	0.772354	-0.04756411	0.6655442
ENSG00000196668	ENSG00000169083	-0.1202981	0.1170539	-0.1911891	0.07783722	-0.2222009	0.04096481
ENSG00000223768	ENSG00000169083	-0.1490607	0.05167763	-0.2118628	0.05019764	-0.2253027	0.03815658
ENSG00000178977	ENSG00000169083	0.1275716	0.09635634	0.090514	0.4072104	0.3491906	0.001054882
ENSG00000177410	ENSG00000169083	-0.3372477	6.464649e-06	-0.3716623	0.00042618	-0.3309361	0.001977638
ENSG00000255717	ENSG00000169083	-0.2953746	8.77923e-05	-0.4537427	1.145929e-05	-0.3512764	0.000979416
ENSG00000197989	ENSG00000169083	-0.2640075	0.0004845828	-0.3726483	0.0004102533	-0.3328231	0.001856457
ENSG00000249859	ENSG00000169083	-0.148482	0.05260241	-0.194403	0.07287837	-0.1474334	0.1781368
ENSG00000234608	ENSG00000169083	-0.2695316	0.0003639419	-0.3904017	0.0002023493	-0.4088169	0.0001025481
