lnc	gene	Stg II $estimate	Stg II $p.value	Stg III $estimate	Stg III $p.value	Stg IV $estimate	Stg IV $p.value
ENSG00000245532	ENSG00000185736	-0.04773859	0.5911052	-0.07374213	0.3865528	-0.03920952	0.6540881
ENSG00000251562	ENSG00000189007	0.4257879	4.892115e-07	0.2763059	0.0009512547	0.2051941	0.01781957
ENSG00000268388	ENSG00000133597	-0.1511537	0.08728338	-0.09180946	0.2806567	-0.01432878	0.8699704
ENSG00000245532	ENSG00000133597	-0.06539854	0.4615216	-0.1765692	0.03689802	0.0619497	0.478712
ENSG00000245532	ENSG00000129467	-0.07693684	0.3861532	0.04390832	0.6064685	-0.05051043	0.5636795
ENSG00000251562	ENSG00000129467	0.04109583	0.6437865	0.1482255	0.08050356	-0.04342826	0.6196504
ENSG00000268388	ENSG00000020181	0.7024927	1.738447e-20	0.5616442	5.229628e-13	0.6772974	3.519197e-19
ENSG00000245694	ENSG00000020181	-0.1360576	0.1241869	-0.09004467	0.2900455	-0.180419	0.03769661
ENSG00000268388	ENSG00000123146	0.100569	0.256793	0.2268111	0.007042712	0.2574519	0.002774716
ENSG00000251562	ENSG00000162618	-0.05153464	0.5619083	0.1132179	0.1828968	-0.01922886	0.8261164
ENSG00000245532	ENSG00000163485	-0.1434624	0.1048117	-0.121984	0.1510702	-0.0765863	0.3809285
ENSG00000245694	ENSG00000163485	0.111122	0.2099493	0.1359105	0.1093469	-0.03923153	0.6539064
ENSG00000251562	ENSG00000153531	0.02464739	0.7815821	0.03651087	0.668453	-0.02429045	0.7813749
ENSG00000245694	ENSG00000106624	-0.1211268	0.1715043	-0.1553169	0.06689274	-0.09954312	0.2542926
ENSG00000268388	ENSG00000196526	0.1511092	0.08737758	0.3400926	3.93635e-05	0.2177457	0.01181078
ENSG00000268388	ENSG00000144218	0.4482217	1.000617e-07	0.1954357	0.02066471	0.08885685	0.3091117
ENSG00000251562	ENSG00000165923	0.4098269	1.414059e-06	0.08913863	0.294946	0.1296975	0.1367726
ENSG00000251562	ENSG00000204305	0.3322705	0.0001195603	0.04542682	0.5940656	-0.02454814	0.7791147
ENSG00000268388	ENSG00000177674	-0.07336738	0.4086357	-0.1331735	0.1167415	-0.2036338	0.01872603
ENSG00000130600	ENSG00000101444	-0.05508671	0.5352275	0.06253929	0.4629124	0.168836	0.05205216
ENSG00000245532	ENSG00000124942	0.09167334	0.301486	0.08611306	0.3117059	0.6513869	2.074549e-17
ENSG00000268388	ENSG00000185567	-0.06149079	0.4887748	0.02294555	0.7878552	-0.05354516	0.5404561
ENSG00000245532	ENSG00000185567	0.1727037	0.05032664	-0.1082682	0.2029088	0.04505298	0.6065995
ENSG00000251562	ENSG00000105127	0.4012956	2.439399e-06	0.1244835	0.1428093	0.01598688	0.8550797
ENSG00000245532	ENSG00000105127	0.2608217	0.002832237	0.2969155	0.0003675688	0.01692212	0.8467028
ENSG00000268388	ENSG00000085662	-0.0136257	0.8781941	0.2492285	0.002983067	-0.02226982	0.7991593
ENSG00000214049	ENSG00000142208	0.1912735	0.0299014	0.03580363	0.6745067	-0.05110072	0.5591253
ENSG00000130600	ENSG00000142208	-0.07179948	0.4187497	-0.08982762	0.2912145	-0.1375499	0.114372
ENSG00000214049	ENSG00000117020	-0.1465755	0.09741052	-0.05436717	0.5234829	-0.03424037	0.6956002
ENSG00000268388	ENSG00000137124	0.3747457	1.212112e-05	0.5596632	6.561752e-13	0.6778887	3.191071e-19
ENSG00000268388	ENSG00000111275	0.1041447	0.2401789	0.08608298	0.3118755	0.1148883	0.187901
ENSG00000245532	ENSG00000132746	0.1890185	0.03192728	0.07468516	0.3804923	0.006392916	0.941781
ENSG00000226688	ENSG00000091542	0.3889495	5.230926e-06	0.1455023	0.08628802	0.1000712	0.2517692
ENSG00000234350	ENSG00000091542	0.04726005	0.5948343	0.3192502	0.0001207204	0.05424473	0.5351706
ENSG00000268388	ENSG00000198796	0.1456984	0.09945279	0.18522	0.02845922	0.07195471	0.4104757
ENSG00000251562	ENSG00000198796	-0.2177173	0.01319246	0.2480037	0.003132669	0.004877433	0.9555659
ENSG00000251562	ENSG00000078053	-0.132563	0.1342399	-0.05247336	0.538072	0.02446526	0.7798414
ENSG00000251562	ENSG00000240038	0.1942772	0.02737338	0.1040152	0.2213257	-0.009642848	0.9122828
ENSG00000268388	ENSG00000196510	-0.08999206	0.3104758	-0.08425448	0.3223033	-0.1778954	0.04050177
ENSG00000245694	ENSG00000196510	0.147874	0.09444835	0.2247466	0.007593285	0.3874024	4.089674e-06
ENSG00000130600	ENSG00000214274	-0.0790256	0.3733503	-0.171852	0.04232807	-0.06393049	0.4647356
ENSG00000268388	ENSG00000136859	0.4109351	1.315899e-06	0.1918299	0.0231747	0.4674653	1.405133e-08
ENSG00000245532	ENSG00000145362	-0.1151611	0.1937464	-0.04983241	0.5587479	0.0498509	0.5687887
ENSG00000251562	ENSG00000254996	0.6004932	5.392576e-14	0.5853873	3.05275e-14	0.3439365	5.047882e-05
ENSG00000251562	ENSG00000164331	0.4696958	1.960962e-08	0.1341903	0.1139504	0.1365327	0.1171016
ENSG00000251562	ENSG00000172932	0.191434	0.0297615	0.05466868	0.5211788	0.04769962	0.5856044
ENSG00000245532	ENSG00000172932	0.1429978	0.1059529	0.2370904	0.004795322	0.08627709	0.3234238
ENSG00000268388	ENSG00000154065	0.1333055	0.1320538	0.2709232	0.001205237	0.5847645	1.463515e-13
ENSG00000268388	ENSG00000272031	0.06534142	0.4619138	0.2623159	0.001742406	0.1469398	0.09145523
ENSG00000245694	ENSG00000198483	0.2869766	0.000976042	-0.06054468	0.4773297	0.1335294	0.1254557
ENSG00000245532	ENSG00000198483	0.1796902	0.0415859	0.004121884	0.9614503	-0.0004468321	0.9959272
ENSG00000251562	ENSG00000131620	-0.06467935	0.4664735	-0.03028369	0.7224469	0.04690177	0.5918984
ENSG00000245532	ENSG00000131620	-0.02572198	0.7723136	-0.07576333	0.3736343	0.02909482	0.7395563
ENSG00000245532	ENSG00000185101	0.2286232	0.009160748	0.1793529	0.03397811	0.04615416	0.5978237
ENSG00000268388	ENSG00000166825	0.1005673	0.256801	0.02002125	0.8143684	0.008096254	0.9263082
ENSG00000251562	ENSG00000166825	-0.2373308	0.006766368	-0.01691991	0.8427177	-0.03767964	0.6667637
ENSG00000268388	ENSG00000169604	0.2605246	0.002865024	0.2614156	0.001809642	0.1754222	0.04341859
ENSG00000251562	ENSG00000163297	-0.2435165	0.005421073	-0.003206146	0.9700101	-0.002939118	0.9732155
ENSG00000245694	ENSG00000109511	0.05003885	0.5733306	0.242989	0.003818309	0.007306616	0.9334781
ENSG00000268388	ENSG00000109511	-0.08891618	0.3163192	-0.08099195	0.3414613	0.03083982	0.7245467
ENSG00000268388	ENSG00000182718	-0.1010538	0.2544954	-0.02808935	0.7418209	-0.1646808	0.0581961
ENSG00000245532	ENSG00000182718	-0.06330863	0.4759915	-0.05507385	0.5180908	-0.04668129	0.5936431
ENSG00000251562	ENSG00000197043	-0.3196909	0.000221581	0.1281734	0.1312469	-0.05786785	0.5082149
ENSG00000245532	ENSG00000143412	0.06042966	0.4963205	0.01425608	0.8672313	-0.03541627	0.6856893
ENSG00000251562	ENSG00000131471	-0.06750885	0.4471603	-0.01470649	0.8630769	-0.02672056	0.760136
ENSG00000268388	ENSG00000138356	0.3034236	0.0004732328	0.416933	2.986407e-07	0.6356508	2.045103e-16
ENSG00000245532	ENSG00000213983	0.3139797	0.0002906539	0.2913507	0.0004785469	0.06637238	0.4478192
ENSG00000251562	ENSG00000213983	0.5102143	6.556463e-10	0.04968716	0.5598961	0.01245448	0.8868574
ENSG00000251562	ENSG00000166313	-0.0415852	0.6398401	-0.008518279	0.9204334	-0.007038341	0.9359152
ENSG00000251562	ENSG00000163697	-0.02609082	0.7691398	0.1656298	0.05049833	0.05490921	0.5301741
ENSG00000268388	ENSG00000163697	0.1891853	0.03177358	0.2961125	0.0003819597	0.09849772	0.2593394
ENSG00000251562	ENSG00000113108	0.477889	1.021716e-08	0.1981873	0.01891038	-0.01800639	0.8370125
ENSG00000245694	ENSG00000198768	0.09294022	0.2948263	0.1429528	0.09199997	-0.07771303	0.3739407
ENSG00000251562	ENSG00000198768	-0.1054618	0.234252	0.03568596	0.675516	-0.03432413	0.6948925
ENSG00000245532	ENSG00000198768	-0.0510101	0.5659014	-0.04464223	0.6004597	-0.03619247	0.6791762
ENSG00000245694	ENSG00000105290	0.1932434	0.02822208	0.3520147	1.998298e-05	0.4378109	1.364968e-07
ENSG00000268388	ENSG00000105290	-0.01372809	0.8772859	-0.0301682	0.7234624	-0.06403274	0.4640203
ENSG00000245532	ENSG00000130203	-0.102994	0.2454415	-0.2075902	0.01385154	-0.07020424	0.4219841
ENSG00000268388	ENSG00000178878	0.5096475	6.897186e-10	0.3072773	0.0002217002	0.5649576	1.404386e-12
ENSG00000268388	ENSG00000142192	0.08065497	0.3635458	0.1413154	0.09582423	0.07387519	0.3980641
ENSG00000268388	ENSG00000165272	-0.1434926	0.1047376	-0.112579	0.1853951	-0.09978189	0.2531494
ENSG00000251562	ENSG00000165272	-0.07824306	0.3781161	-0.0220263	0.796165	-0.01795261	0.8374926
ENSG00000215386	ENSG00000169083	-0.02898079	0.7444069	0.005288015	0.9505564	0.146676	0.09204497
ENSG00000178977	ENSG00000169083	0.4669098	2.438183e-08	0.4509735	2.249544e-08	0.322924	0.0001499989
ENSG00000214548	ENSG00000169083	-0.05388614	0.5441744	-0.07269	0.3933829	-0.146411	0.09264065
ENSG00000130600	ENSG00000169083	-0.02323803	0.7937844	0.06427032	0.4505975	-0.1329826	0.127025
ENSG00000203875	ENSG00000169083	-0.01943019	0.8269951	0.04645304	0.5857491	-0.1174417	0.1782112
ENSG00000177757	ENSG00000169083	0.07545251	0.3954103	0.01140934	0.8935677	0.06131809	0.4832158
ENSG00000251562	ENSG00000186635	0.2793316	0.001346977	0.210812	0.01241366	-0.01160581	0.8945209
ENSG00000245694	ENSG00000186635	0.3665293	1.93641e-05	0.05438239	0.5233665	0.04045636	0.6438298
ENSG00000268388	ENSG00000186635	0.3134817	0.0002975372	0.2270882	0.006971556	-0.0498963	0.5684363
ENSG00000245532	ENSG00000186635	0.2017893	0.02183529	0.1755779	0.03798763	-0.01648721	0.8505962
ENSG00000245694	ENSG00000081181	0.2256026	0.010151	0.02087479	0.8066066	0.3905637	3.357525e-06
ENSG00000251562	ENSG00000081181	-0.02377402	0.7891377	0.03966212	0.6417422	0.09684428	0.2674608
ENSG00000251562	ENSG00000175220	-0.1917729	0.02946782	-0.01129348	0.8946422	0.01438298	0.8694828
ENSG00000251562	ENSG00000137727	-0.1645611	0.06237955	-0.008050897	0.9247859	0.1269102	0.1454819
ENSG00000251562	ENSG00000138639	-0.080332	0.3654765	-0.009120101	0.9148324	0.0195958	0.8228522
ENSG00000251562	ENSG00000159314	0.44409	1.351942e-07	0.0909617	0.285141	0.04437838	0.6120037
ENSG00000251562	ENSG00000088756	0.04802001	0.5889172	0.5708932	1.776622e-13	0.0002348185	0.9978597
ENSG00000268388	ENSG00000137962	0.02890043	0.7450912	0.3838172	2.851455e-06	-0.007717492	0.9297466
ENSG00000245694	ENSG00000137962	-0.1396572	0.1144491	-0.2153596	0.01060713	-0.1884162	0.02986307
ENSG00000245694	ENSG00000110237	0.1467301	0.09705411	-0.03570962	0.675313	-0.01849263	0.8326747
ENSG00000268388	ENSG00000110237	0.4015504	2.400511e-06	0.6332734	4.632252e-17	0.467652	1.384195e-08
ENSG00000245532	ENSG00000110237	-0.05313885	0.5497802	-0.01835974	0.8295288	0.007387951	0.9327393
ENSG00000251562	ENSG00000110237	0.07330922	0.4090083	0.1953716	0.02070713	-0.008508213	0.9225699
ENSG00000245694	ENSG00000240771	0.2373347	0.006765442	0.1853743	0.02832501	0.09975261	0.2532895
ENSG00000245694	ENSG00000214944	0.1376924	0.1196879	0.205976	0.01462512	0.1390707	0.1103839
ENSG00000245694	ENSG00000179674	-0.1432156	0.1054166	-0.009119831	0.9148349	-0.06756393	0.4396918
ENSG00000245532	ENSG00000143862	0.0129797	0.8839275	-0.07953032	0.3502733	-0.08562594	0.3271027
ENSG00000214049	ENSG00000172379	-0.01730239	0.8456911	-0.06220959	0.4652788	-0.06450982	0.4606908
ENSG00000245694	ENSG00000113273	0.05732268	0.5187624	0.06720862	0.4301201	0.1580815	0.06916805
ENSG00000268388	ENSG00000183876	0.1398031	0.1140673	0.03661592	0.6675556	-0.004210959	0.9616326
ENSG00000268388	ENSG00000180801	0.0616158	0.4878899	0.2523902	0.002626204	0.009567769	0.9129631
ENSG00000251562	ENSG00000180801	-0.02306457	0.7952897	0.2384737	0.004548014	-0.03730966	0.6698434
ENSG00000245694	ENSG00000180801	0.1542019	0.08101934	0.03699998	0.6642787	0.1077833	0.216873
ENSG00000245694	ENSG00000164291	0.1162611	0.1894952	0.1476697	0.08165817	0.3501634	3.600091e-05
ENSG00000251562	ENSG00000164291	-0.02405742	0.7866838	0.006637816	0.9379582	0.2016859	0.01991341
ENSG00000268388	ENSG00000153317	0.03074811	0.7294073	0.3212348	0.0001088777	-0.02371182	0.7864565
ENSG00000245694	ENSG00000153317	-0.005522366	0.9504736	0.02479765	0.771186	-0.04283212	0.6244693
ENSG00000268388	ENSG00000100325	-0.06426116	0.4693662	-0.1004519	0.2376439	0.1098649	0.2080742
ENSG00000251562	ENSG00000106819	-0.1780854	0.04347219	-0.0550778	0.5180608	0.1156876	0.1848273
ENSG00000251562	ENSG00000215915	0.2127981	0.01546956	-0.01524799	0.8580872	0.1268414	0.1457021
ENSG00000245694	ENSG00000110046	0.1941948	0.02744023	0.07361691	0.387362	0.06534514	0.454893
ENSG00000245532	ENSG00000130734	0.03521311	0.6919765	0.03434745	0.6870367	-0.05713189	0.5136328
ENSG00000245694	ENSG00000198513	0.1012402	0.2536154	0.0210737	0.8048004	0.3487904	3.881036e-05
ENSG00000251562	ENSG00000198513	0.04291852	0.6291393	-0.01001793	0.9064845	0.03673703	0.6746209
ENSG00000268388	ENSG00000198513	-0.01364456	0.8780268	0.2051055	0.01505776	0.1551182	0.07461363
ENSG00000268388	ENSG00000184743	0.09891468	0.2647402	0.3437047	3.214721e-05	0.2780801	0.001191646
ENSG00000214049	ENSG00000149311	0.0365249	0.6811147	-0.09853032	0.2467845	0.06288374	0.4720934
ENSG00000268388	ENSG00000168874	-0.03189734	0.7197079	0.0119691	0.888379	0.01625618	0.8526659
ENSG00000268388	ENSG00000185883	-0.02998046	0.7359103	0.03554344	0.6767391	-0.1022812	0.2413958
ENSG00000245532	ENSG00000185883	0.4308176	3.461431e-07	0.4546456	1.672767e-08	0.04257674	0.6265384
ENSG00000245694	ENSG00000159720	0.1032719	0.2441635	0.1427908	0.09237291	0.1415993	0.1039941
ENSG00000268388	ENSG00000159720	0.01734508	0.8453151	0.0640117	0.4524256	0.03419878	0.6959517
ENSG00000251562	ENSG00000147416	-0.04665224	0.5995859	0.09782947	0.2501781	-0.02828377	0.7465665
ENSG00000268388	ENSG00000147416	0.08308763	0.349207	0.2026122	0.01635919	0.009464539	0.9138985
ENSG00000268388	ENSG00000081923	-0.03673941	0.6793447	-0.07287149	0.3921996	-0.03483648	0.6905694
ENSG00000245694	ENSG00000081923	0.02759603	0.7562271	0.2241659	0.00775487	0.118458	0.1744587
ENSG00000268388	ENSG00000143515	0.3545358	3.75136e-05	0.4254307	1.607787e-07	0.0956685	0.27334
ENSG00000245694	ENSG00000143515	0.2036332	0.0206335	0.06473746	0.4473059	0.3948711	2.557753e-06
ENSG00000251562	ENSG00000135454	-0.1434951	0.1047315	0.3003572	0.0003113943	-0.04038306	0.6444311
ENSG00000245694	ENSG00000086062	-0.1780371	0.04353008	-0.1852528	0.02843064	-0.1569613	0.07118747
ENSG00000268388	ENSG00000174684	0.09007922	0.3100054	0.1655073	0.05067156	0.1587476	0.06798941
ENSG00000251562	ENSG00000186318	-0.0004568034	0.9959007	0.1099515	0.1959332	0.1622322	0.06208731
ENSG00000278768	ENSG00000186318	0.3784415	9.777174e-06	0.2536003	0.002500167	0.3835433	5.188858e-06
ENSG00000251562	ENSG00000112208	-0.2091552	0.01736924	0.1946035	0.02122217	0.002537476	0.9768746
ENSG00000245532	ENSG00000175866	0.1575664	0.07452951	-0.08395432	0.3240363	-0.04818213	0.5818131
ENSG00000245532	ENSG00000007516	0.09610817	0.2786023	0.06506713	0.4449911	0.04347924	0.6192391
ENSG00000244349	ENSG00000156127	0.08350678	0.3467727	-0.1343745	0.1134502	0.01676767	0.8480851
ENSG00000226950	ENSG00000156127	0.1227781	0.1656956	-0.03792042	0.6564514	-0.07459081	0.393497
ENSG00000233429	ENSG00000156127	0.1909049	0.03022493	0.05107667	0.5489592	0.06183196	0.4795498
ENSG00000204528	ENSG00000156127	0.08934946	0.3139574	-0.09162142	0.2816472	-0.001536613	0.9859948
ENSG00000228223	ENSG00000156127	-0.07537521	0.3958959	-0.07056865	0.4073721	-0.1259311	0.148639
ENSG00000179935	ENSG00000156127	-0.1753558	0.04684459	-0.1794227	0.03390752	0.007485419	0.931854
ENSG00000228817	ENSG00000156127	-0.1225858	0.1663644	-0.03706169	0.6637529	-0.1131337	0.1947783
ENSG00000255717	ENSG00000156127	-0.1985497	0.02409268	-0.09501758	0.2641174	-0.230043	0.007727102
ENSG00000255198	ENSG00000156127	0.3169482	0.0002525912	0.171203	0.04312496	0.1157781	0.1844816
ENSG00000247092	ENSG00000156127	0.2017866	0.02183705	0.04301194	0.6138433	-0.01922824	0.826122
ENSG00000215374	ENSG00000156127	-0.02771582	0.7552023	-0.277008	0.0009220163	-0.05788106	0.5081179
ENSG00000178977	ENSG00000156127	0.1403407	0.112669	0.1489334	0.07905201	0.120186	0.1682128
ENSG00000249859	ENSG00000156127	-0.004091803	0.9632929	-0.08301156	0.3295185	-0.09871275	0.2582957
ENSG00000234741	ENSG00000156127	0.2467721	0.004813615	-0.07835227	0.3574784	-0.1420793	0.1028147
ENSG00000230366	ENSG00000156127	-0.1788786	0.04253114	-0.1800924	0.03323614	-0.1698768	0.05060018
ENSG00000264575	ENSG00000156127	-0.1554284	0.07860301	-0.1617476	0.05622893	-0.1432721	0.0999292
ENSG00000234608	ENSG00000156127	0.1132344	0.2013585	0.02114595	0.8041446	-0.001384028	0.9873854
ENSG00000235947	ENSG00000156127	0.05111698	0.5650866	-0.06434978	0.4500367	-0.05847758	0.5037488
ENSG00000176124	ENSG00000156127	-0.2480836	0.004586626	-0.2110719	0.01230359	-0.09763677	0.2635469
ENSG00000227354	ENSG00000156127	-0.0660541	0.4570333	-0.1032079	0.2249512	-0.01541573	0.8602034
ENSG00000232973	ENSG00000156127	0.03870941	0.6631717	-0.1421163	0.09393814	0.05244501	0.5488202
ENSG00000251562	ENSG00000156127	0.001462503	0.9868761	-0.06662424	0.4341496	-0.07430404	0.3953234
ENSG00000255733	ENSG00000156127	0.05938436	0.5038132	0.0836566	0.3257611	0.001889737	0.9827768
ENSG00000203875	ENSG00000156127	0.1753845	0.04680804	-0.07365766	0.3870985	-0.1925351	0.02639973
ENSG00000232118	ENSG00000156127	-0.12064	0.1732455	-0.05672662	0.5055919	-0.1257531	0.1492183
ENSG00000245910	ENSG00000156127	-0.00853633	0.9235109	-0.1799188	0.03340916	-0.183605	0.03439012
ENSG00000224939	ENSG00000156127	-0.1962671	0.02580086	-0.2423256	0.003918461	-0.1202437	0.168007
ENSG00000224843	ENSG00000156127	0.04199298	0.6365594	-0.05964272	0.4839281	-0.0482262	0.5814674
ENSG00000233532	ENSG00000156127	-0.1023247	0.2485393	-0.1127755	0.1846243	0.001852952	0.983112
ENSG00000270604	ENSG00000156127	0.001837144	0.9835146	0.2047694	0.01522775	-0.03062706	0.7263714
ENSG00000197989	ENSG00000156127	0.1762856	0.04567221	0.1156315	0.1736804	0.02688861	0.7586736
ENSG00000242808	ENSG00000156127	-0.1019337	0.250361	-0.1850348	0.02862097	-0.1449174	0.09605427
ENSG00000224157	ENSG00000156127	0.1949939	0.02679778	-0.129312	0.1278278	-0.006771118	0.9383434
ENSG00000233016	ENSG00000156127	0.2913489	0.0008085293	-0.1461579	0.08486601	-0.1479729	0.08917434
ENSG00000253978	ENSG00000156127	-0.08681298	0.3279472	-0.03154386	0.7113989	0.212984	0.01384054
ENSG00000235823	ENSG00000156127	0.02768568	0.7554601	-0.05398946	0.5263765	-0.1780663	0.04030645
ENSG00000222041	ENSG00000156127	0.05849402	0.5102413	-0.06821711	0.4232169	0.1096926	0.2087925
ENSG00000231607	ENSG00000156127	-0.07147741	0.4208452	-0.06860954	0.4205482	-0.1664099	0.05557062
ENSG00000215417	ENSG00000156127	-0.1984386	0.02417356	-0.2478689	0.003149551	-0.2713538	0.001581153
ENSG00000225470	ENSG00000156127	-0.1207461	0.1728647	-0.08637461	0.3102329	-0.07628329	0.3828211
ENSG00000231074	ENSG00000156127	-0.1872227	0.03362276	-0.2312326	0.005981251	-0.09897854	0.2570097
ENSG00000223806	ENSG00000156127	0.03576305	0.6874152	0.17994	0.03338792	0.10493	0.2293594
ENSG00000234883	ENSG00000156127	-0.08622944	0.3312213	0.07061147	0.4070868	0.1179408	0.176361
ENSG00000224418	ENSG00000156127	0.2244218	0.010563	-0.113655	0.1812016	0.0406068	0.6425965
ENSG00000245532	ENSG00000156127	-0.00611408	0.9451748	-2.013258e-05	0.9998116	-0.04313369	0.6220295
ENSG00000224965	ENSG00000156127	-0.1185621	0.1808233	-0.0836015	0.326081	-0.1143671	0.189925
ENSG00000218510	ENSG00000156127	-0.1436221	0.1044215	-0.1152199	0.1752273	-0.1988095	0.0217853
ENSG00000216863	ENSG00000156127	-0.05857596	0.509648	0.03760425	0.6591359	0.06592161	0.4509156
ENSG00000251191	ENSG00000156127	-0.04607316	0.6041286	-0.04733376	0.5786547	0.0839982	0.3364161
ENSG00000231028	ENSG00000156127	0.05412174	0.5424129	0.04722339	0.5795416	0.02291128	0.7935018
ENSG00000228022	ENSG00000156127	-0.06391334	0.4717796	-0.08125507	0.33989	0.089908	0.3034006
ENSG00000232860	ENSG00000156127	-0.1967661	0.02541886	-0.06520466	0.4440275	-0.2272851	0.008514318
ENSG00000225783	ENSG00000156127	-0.131339	0.1379047	-0.1042934	0.2200859	-0.1488852	0.08719807
ENSG00000177410	ENSG00000156127	0.3713167	1.476131e-05	0.1231122	0.147298	0.1554965	0.07389985
ENSG00000174365	ENSG00000156127	0.2112482	0.01625449	0.1498577	0.07718855	0.2533335	0.003259341
ENSG00000229847	ENSG00000156127	0.1069282	0.2277745	0.09984197	0.2405192	0.1089885	0.2117473
