lnc	gene	Stg I $estimate	Stg I $p.value	Stg II $estimate	Stg II $p.value
ENSG00000251562	ENSG00000081181	-0.01960637	0.9327752	0.1365682	0.09906507
ENSG00000251562	ENSG00000159314	-0.06714445	0.7724439	0.3230957	6.566276e-05
ENSG00000251562	ENSG00000104728	0.09628854	0.6779973	0.3772893	2.469633e-06
ENSG00000245532	ENSG00000142632	0.04020709	0.8626208	0.06605732	0.4266519
ENSG00000245694	ENSG00000179674	0.285402	0.2098153	0.2767775	0.0006896847
ENSG00000268388	ENSG00000138175	-0.1964625	0.3933602	0.07182771	0.3872871
ENSG00000245694	ENSG00000113966	-0.3998974	0.07247007	-0.1236905	0.1355411
ENSG00000214049	ENSG00000172379	-0.418864	0.05877012	-0.1501238	0.06953692
ENSG00000245694	ENSG00000172379	-0.5558137	0.008893239	-0.243229	0.002992256
ENSG00000251562	ENSG00000130429	-0.08111309	0.7266968	0.3009193	0.000212624
ENSG00000245532	ENSG00000130429	0.2380815	0.2986842	0.3463172	1.733137e-05
ENSG00000245532	ENSG00000141337	-0.4021982	0.0706911	-0.07457415	0.3693478
ENSG00000251562	ENSG00000088280	0.03914719	0.8662104	0.1252981	0.1304943
ENSG00000251562	ENSG00000065802	0.2608595	0.2534031	0.4734798	1.390142e-09
ENSG00000251562	ENSG00000204653	0.03048618	0.8956325	0.141907	0.08643135
ENSG00000245532	ENSG00000204653	-0.3455291	0.1249912	0.1123823	0.1753447
ENSG00000255198	ENSG00000162772	-0.1719284	0.4561466	0.06929483	0.4042889
ENSG00000245694	ENSG00000171130	-0.5831714	0.005523611	-0.2238812	0.006411994
ENSG00000268388	ENSG00000136888	-0.1421163	0.538877	-0.02887851	0.7284285
ENSG00000251562	ENSG00000136888	0.3458	0.1246759	0.103388	0.212708
ENSG00000268388	ENSG00000213760	-0.03600706	0.87686	0.1470264	0.07555963
ENSG00000268388	ENSG00000047249	-0.305228	0.1784791	0.1220645	0.1407962
ENSG00000251562	ENSG00000047249	0.08077939	0.72778	0.1613038	0.05096075
ENSG00000268388	ENSG00000198049	0.3279599	0.146676	-0.02242418	0.7874745
ENSG00000268388	ENSG00000162630	0.7541647	7.84522e-05	0.02926208	0.7249654
ENSG00000245532	ENSG00000158470	-0.0700511	0.7628591	0.1599337	0.05298866
ENSG00000268388	ENSG00000158470	0.1185432	0.6088051	0.01902764	0.8190639
ENSG00000268388	ENSG00000174684	-0.1060129	0.6474144	0.3399176	2.528722e-05
ENSG00000251562	ENSG00000108641	0.1970628	0.3918872	0.0827068	0.3192921
ENSG00000245532	ENSG00000108641	-0.3480696	0.1220569	0.06043433	0.467142
ENSG00000268388	ENSG00000182240	0.2345165	0.3061928	0.02269775	0.7849444
ENSG00000245694	ENSG00000182240	0.6639738	0.001029894	0.331703	4.057791e-05
ENSG00000226950	ENSG00000156127	-0.4190171	0.05866822	-0.01067144	0.8979247
ENSG00000233429	ENSG00000156127	0.1011148	0.6627544	0.0134549	0.8715053
ENSG00000255198	ENSG00000156127	-0.3498118	0.1200735	0.0554111	0.505027
ENSG00000264575	ENSG00000156127	-0.6470987	0.001520948	-0.01238755	0.881621
ENSG00000227354	ENSG00000156127	-0.5997084	0.004058507	-0.09989544	0.2286506
ENSG00000245910	ENSG00000156127	-0.02495426	0.9144965	0.4075123	3.010567e-07
ENSG00000224939	ENSG00000156127	-0.6318909	0.002120163	-0.02485153	0.7651059
ENSG00000197989	ENSG00000156127	0.609445	0.003358732	0.3699282	3.997381e-06
ENSG00000242808	ENSG00000156127	-0.4723792	0.03059469	-0.0777508	0.3492481
ENSG00000235823	ENSG00000156127	-0.5942757	0.004499024	-0.01292927	0.8764844
ENSG00000231028	ENSG00000156127	-0.5602301	0.00825716	-0.2341256	0.004314964
ENSG00000175611	ENSG00000156127	-0.5777117	0.006094065	-0.01010894	0.9032783
ENSG00000268388	ENSG00000187244	-0.08677462	0.7083979	-0.07193221	0.386595
ENSG00000251562	ENSG00000187244	-0.02317613	0.9205698	0.2465455	0.002609926
ENSG00000245694	ENSG00000060982	0.3122097	0.16825	-0.1386875	0.09388559
ENSG00000251562	ENSG00000060982	-0.006009391	0.9793751	-0.05809491	0.484589
ENSG00000247400	ENSG00000119866	-0.04916241	0.8324015	0.06643884	0.42398
ENSG00000245910	ENSG00000119866	0.0974664	0.6742658	0.1935313	0.01884106
ENSG00000264575	ENSG00000119866	0.6019845	0.003884936	0.1362977	0.09974194
ENSG00000233429	ENSG00000119866	-0.1170064	0.6134895	0.2257303	0.00597692
ENSG00000175611	ENSG00000119866	0.6340009	0.00202676	0.4153497	1.684649e-07
ENSG00000231028	ENSG00000119866	0.6744805	0.0007980778	0.1124021	0.1752684
ENSG00000226950	ENSG00000119866	0.4793902	0.0278812	0.0624999	0.4520284
ENSG00000197989	ENSG00000119866	0.05090525	0.8265454	0.2110448	0.01029065
ENSG00000227354	ENSG00000119866	0.006714707	0.976955	0.5054309	6.614328e-11
ENSG00000255198	ENSG00000119866	0.8122004	7.764483e-06	0.1396691	0.0915606
ENSG00000260583	ENSG00000119866	0.2759484	0.2259702	0.09008717	0.2778629
ENSG00000268388	ENSG00000140379	0.1233357	0.5942915	-0.03246262	0.6962916
ENSG00000251562	ENSG00000126453	-0.270299	0.236003	0.01025464	0.9018912
ENSG00000245532	ENSG00000126453	0.07249182	0.7548363	0.132078	0.1107828
ENSG00000203875	ENSG00000069399	0.5210093	0.01544265	-0.05572215	0.5026355
ENSG00000233613	ENSG00000069399	-0.5285619	0.01376518	0.1916858	0.0200272
ENSG00000177410	ENSG00000069399	0.3868356	0.08321362	0.2734217	0.0008056438
ENSG00000251191	ENSG00000069399	-0.2282626	0.3196396	0.04718754	0.5703401
ENSG00000234608	ENSG00000069399	0.05238131	0.8215926	0.2745652	0.0007642569
ENSG00000235823	ENSG00000069399	-0.6646387	0.0010137	0.1664644	0.04389137
ENSG00000251562	ENSG00000069399	-0.2225064	0.3323244	0.1785563	0.03047828
ENSG00000245532	ENSG00000069399	0.5149843	0.01689596	0.2615726	0.00137317
ENSG00000229152	ENSG00000069399	0.3657141	0.103029	0.18096	0.02827602
ENSG00000216863	ENSG00000069399	0.3048553	0.1790368	-0.003367138	0.9677137
ENSG00000205837	ENSG00000069399	0.02761586	0.9054142	0.3050648	0.0001718924
ENSG00000245694	ENSG00000069399	0.5458055	0.01048403	0.3304503	4.356127e-05
ENSG00000224157	ENSG00000069399	-0.3842159	0.08550378	0.1266273	0.1264314
ENSG00000235890	ENSG00000069399	-0.4659644	0.03325581	0.2249531	0.006156481
ENSG00000229205	ENSG00000069399	-0.3063256	0.1768434	0.09733367	0.2408677
ENSG00000232860	ENSG00000069399	-0.4523421	0.03950842	-0.01384981	0.8677678
ENSG00000226496	ENSG00000069399	0.6617576	0.001085465	0.2655731	0.001150013
ENSG00000233016	ENSG00000069399	-0.5580673	0.008563822	0.1383903	0.09459873
ENSG00000235947	ENSG00000069399	-0.300876	0.1850659	0.2755894	0.0007288562
ENSG00000218510	ENSG00000069399	-0.2591809	0.2565809	-0.115027	0.1653406
ENSG00000255198	ENSG00000069399	-0.4120123	0.06346983	0.07684794	0.3548896
ENSG00000234741	ENSG00000069399	0.5114401	0.01780103	0.1653978	0.04528114
ENSG00000228223	ENSG00000069399	-0.02809987	0.9037638	-0.1765515	0.03242494
ENSG00000180422	ENSG00000069399	-0.2641076	0.2473256	0.1284327	0.12107
ENSG00000229847	ENSG00000069399	-0.0402494	0.8624775	0.008555215	0.9180877
ENSG00000178977	ENSG00000069399	0.03171439	0.8914513	-0.1040546	0.2097574
ENSG00000225470	ENSG00000069399	-0.2664885	0.242931	0.08722737	0.2934648
ENSG00000245910	ENSG00000069399	-0.1987143	0.3878507	0.2231501	0.006591647
ENSG00000197989	ENSG00000069399	0.6507891	0.001399416	0.3565583	9.305271e-06
ENSG00000230366	ENSG00000069399	-0.4635949	0.03428351	0.1492404	0.07121349
ENSG00000255717	ENSG00000069399	0.4679759	0.03240249	0.2404512	0.003350628
ENSG00000237864	ENSG00000069399	0.5170553	0.01638449	0.06381733	0.4425336
ENSG00000249859	ENSG00000069399	0.4962865	0.02212012	0.1495432	0.07063514
ENSG00000185186	ENSG00000069399	0.07706022	0.7398856	0.1118742	0.1773171
ENSG00000184274	ENSG00000069399	-0.3121845	0.1682862	0.1319741	0.1110663
ENSG00000234883	ENSG00000069399	0.6338594	0.002032911	0.06069747	0.4652013
ENSG00000175611	ENSG00000069399	-0.5080273	0.01870899	-0.005926659	0.9432035
ENSG00000174365	ENSG00000069399	-0.2261666	0.3242245	0.3158999	9.71202e-05
ENSG00000260583	ENSG00000069399	-0.5666911	0.007394278	0.05701009	0.4927964
ENSG00000228022	ENSG00000069399	-0.03091235	0.8941813	-0.0006306381	0.9939514
ENSG00000226950	ENSG00000069399	-0.335352	0.1372523	-0.03090115	0.7102302
ENSG00000176124	ENSG00000069399	0.1210209	0.6012836	0.1889397	0.02191147
ENSG00000233532	ENSG00000069399	0.1688892	0.4642669	-0.03032278	0.7154178
ENSG00000268388	ENSG00000116128	-0.0006243216	0.997857	0.07596358	0.3604704
ENSG00000245532	ENSG00000116128	-0.4609805	0.03544611	0.1822068	0.02718821
ENSG00000245573	ENSG00000176697	-0.1974774	0.3908717	-0.01637732	0.8439195
ENSG00000242808	ENSG00000145734	-0.08474748	0.7149328	0.2317668	0.004733978
ENSG00000235984	ENSG00000145734	-0.1068003	0.6449613	-0.01712626	0.8368789
ENSG00000245694	ENSG00000162373	-0.6829708	0.0006446918	-0.2633486	0.001269629
ENSG00000245694	ENSG00000133169	-0.4888546	0.02452409	-0.1607096	0.05183219
ENSG00000268388	ENSG00000133169	0.1154968	0.6181051	-0.05188093	0.5325794
ENSG00000251562	ENSG00000166681	0.1249879	0.5893219	0.1407197	0.08912326
ENSG00000268388	ENSG00000134897	0.162668	0.4811171	0.1488489	0.07196675
ENSG00000245694	ENSG00000134897	-0.2633883	0.2486634	0.03324095	0.6893812
ENSG00000251562	ENSG00000090013	-0.1927152	0.402625	-0.03242806	0.6965991
ENSG00000245532	ENSG00000090013	0.3600517	0.1088819	0.1159494	0.1619534
ENSG00000245532	ENSG00000113734	-0.2185216	0.341278	0.1400568	0.09065523
ENSG00000238197	ENSG00000185024	0.5912351	0.004762436	0.3170841	9.112342e-05
ENSG00000227354	ENSG00000185024	0.7269199	0.000189347	0.1394782	0.09200929
ENSG00000177640	ENSG00000185024	0.7426327	0.0001154092	-0.06246206	0.4523028
ENSG00000247400	ENSG00000185024	0.4205373	0.05766378	0.1894901	0.02152205
ENSG00000245910	ENSG00000104221	0.7040265	0.0003681886	0.1183515	0.1533758
ENSG00000245532	ENSG00000160469	-0.2559112	0.2628434	0.1250905	0.1311379
ENSG00000268388	ENSG00000130303	-0.08871746	0.7021533	-0.07099209	0.3928479
ENSG00000245694	ENSG00000132640	-0.3800237	0.08926543	0.1539995	0.06255644
ENSG00000268388	ENSG00000124508	0.2993593	0.1873998	0.02598926	0.7546866
ENSG00000251562	ENSG00000124508	0.132405	0.5672332	0.287118	0.0004219805
ENSG00000251562	ENSG00000111678	-0.1677316	0.4673792	-0.09943948	0.2307925
ENSG00000245532	ENSG00000111678	-0.3142378	0.1653561	0.02346493	0.7778612
ENSG00000245694	ENSG00000111678	-0.4237445	0.05558773	0.05962185	0.4731619
ENSG00000268388	ENSG00000111678	-0.1327687	0.5661596	-0.0229343	0.7827585
ENSG00000268388	ENSG00000204954	-0.09803922	0.6724537	0.006596233	0.9367994
ENSG00000245532	ENSG00000104979	-0.2287035	0.3186801	0.05323651	0.5219109
ENSG00000251562	ENSG00000174928	-0.05651881	0.8077449	-0.1144038	0.167659
ENSG00000268388	ENSG00000114529	0.06170779	0.7904564	-0.07059618	0.3954992
ENSG00000245694	ENSG00000114529	0.5810594	0.005738798	0.5065504	5.910493e-11
ENSG00000251562	ENSG00000188315	0.2425057	0.2895242	0.2458714	0.002683852
ENSG00000268388	ENSG00000123843	-0.06810131	0.769285	-0.04532759	0.5856458
ENSG00000268388	ENSG00000243449	0.1052106	0.6499179	-0.01905589	0.8187999
ENSG00000251562	ENSG00000134508	-0.3903611	0.08020396	0.06394334	0.4416314
ENSG00000251562	ENSG00000141837	0.309052	0.1728252	0.1251336	0.131004
ENSG00000268388	ENSG00000141837	0.05584181	0.8100071	-0.04657906	0.5753265
ENSG00000245694	ENSG00000141837	-0.4544581	0.03848139	-0.1080043	0.1928769
ENSG00000251562	ENSG00000151067	0.3672578	0.1014739	0.05806	0.4848519
ENSG00000268388	ENSG00000165995	-0.09606021	0.6787216	0.4612256	4.123587e-09
ENSG00000245532	ENSG00000075461	-0.4194387	0.05838837	-0.04032482	0.6277218
ENSG00000251562	ENSG00000075461	0.04419532	0.8491373	-0.009631766	0.9078232
ENSG00000245694	ENSG00000182985	-0.591189	0.00476652	-0.3329437	3.781292e-05
ENSG00000268388	ENSG00000182985	-0.09614436	0.6784546	-0.02813843	0.7351259
ENSG00000245532	ENSG00000105767	-0.5146052	0.01699094	-0.03881364	0.6406795
ENSG00000245694	ENSG00000164615	-0.4244647	0.05512949	0.04455406	0.5920664
ENSG00000245694	ENSG00000042493	0.6888479	0.0005538951	0.3199727	7.791542e-05
ENSG00000268388	ENSG00000042493	-0.2074342	0.3669265	-0.1297965	0.1171381
ENSG00000263731	ENSG00000135387	-0.4638564	0.03416889	-0.1002599	0.2269488
ENSG00000233429	ENSG00000135387	0.4354963	0.04846567	0.07306605	0.3791343
ENSG00000245910	ENSG00000135387	0.03455754	0.881783	0.07488098	0.367376
ENSG00000269609	ENSG00000135387	-0.02153168	0.9261904	-0.2117148	0.010046
ENSG00000260464	ENSG00000135387	-0.106163	0.6469467	0.09430641	0.2558823
ENSG00000226913	ENSG00000135387	-0.5470464	0.01027502	-0.06292764	0.4489332
ENSG00000226950	ENSG00000135387	-0.4269622	0.05356279	-0.2607344	0.001424668
ENSG00000255857	ENSG00000135387	-0.3823691	0.08714606	-0.1030966	0.2140067
ENSG00000258056	ENSG00000135387	-0.4095309	0.06524033	0.1807266	0.02848372
ENSG00000270681	ENSG00000135387	-0.3695876	0.09915954	0.1481475	0.07333283
ENSG00000249249	ENSG00000135387	0.1865403	0.4181503	0.1662919	0.04411373
ENSG00000255198	ENSG00000135387	-0.0453276	0.8453165	-0.4391207	2.63879e-08
ENSG00000175061	ENSG00000135387	-0.05186323	0.8233302	0.2016182	0.01433232
ENSG00000242808	ENSG00000135387	-0.1502241	0.5157155	0.09166778	0.269484
ENSG00000206417	ENSG00000135387	-0.1928105	0.4023879	-0.179894	0.02923538
ENSG00000261824	ENSG00000135387	-0.004236429	0.9854594	0.2743882	0.0007705343
ENSG00000233858	ENSG00000135387	0.111671	0.6298646	-0.01387773	0.8675037
ENSG00000258441	ENSG00000135387	-0.3882554	0.08199159	0.01992919	0.8106484
ENSG00000175061	ENSG00000135387	-0.05186323	0.8233302	0.2016182	0.01433232
ENSG00000257084	ENSG00000135387	-0.1314458	0.570069	-0.214432	0.009105558
ENSG00000224032	ENSG00000135387	-0.3600041	0.1089322	-0.006071305	0.9418197
ENSG00000269893	ENSG00000135387	-0.5046273	0.01965011	-0.2015615	0.01436034
ENSG00000179743	ENSG00000135387	-0.1083895	0.6400202	-0.08857268	0.2860543
ENSG00000245694	ENSG00000152611	-0.3253811	0.1500679	-0.03733105	0.6534983
ENSG00000268388	ENSG00000167971	-0.190892	0.4071756	-0.02214137	0.7900923
ENSG00000251562	ENSG00000196954	-0.09374879	0.6860681	0.3774603	2.44181e-06
ENSG00000214548	ENSG00000064012	-0.44574	0.04285065	-0.1342137	0.105081
ENSG00000251562	ENSG00000064012	0.03174747	0.8913387	0.4024484	4.346803e-07
ENSG00000268388	ENSG00000145439	0.1872463	0.416359	0.1211202	0.1439184
ENSG00000245532	ENSG00000094916	-0.3777106	0.09139265	-0.09352694	0.2598502
ENSG00000251562	ENSG00000094916	0.4136211	0.06234156	0.2456955	0.002703451
ENSG00000245694	ENSG00000094916	-0.4036557	0.06958129	-0.09464289	0.2541823
ENSG00000240498	ENSG00000100307	-0.2592268	0.2564937	-0.06325547	0.4465691
ENSG00000251562	ENSG00000015133	0.08168076	0.7248554	0.3382607	2.784824e-05
ENSG00000242808	ENSG00000134057	-0.4655305	0.03344217	-0.08691275	0.2952161
ENSG00000245694	ENSG00000163249	0.3672963	0.1014353	0.1440211	0.08179905
ENSG00000245694	ENSG00000167775	-0.4635099	0.03432082	-0.1723245	0.03687663
ENSG00000251562	ENSG00000196352	-0.03228717	0.8895023	0.0868137	0.2957688
ENSG00000268388	ENSG00000196352	-0.1199588	0.604503	-0.0502674	0.5454186
ENSG00000251562	ENSG00000102181	0.2913364	0.2000767	0.09161846	0.2697429
ENSG00000245532	ENSG00000117399	-0.03780936	0.870745	-0.0009628071	0.9907657
ENSG00000251562	ENSG00000117399	-0.2655163	0.2447194	-0.1018495	0.2196299
ENSG00000268388	ENSG00000167617	-0.1736434	0.4515969	-0.04831438	0.5611599
ENSG00000245532	ENSG00000167617	0.3966889	0.07500681	0.2719763	0.0008608982
ENSG00000268388	ENSG00000184661	0.1749714	0.4480903	-0.06639417	0.4242923
ENSG00000251562	ENSG00000184661	-0.2692126	0.2379651	0.04537503	0.5852532
ENSG00000251562	ENSG00000144354	-0.1450106	0.5305541	0.06086996	0.4639316
ENSG00000242808	ENSG00000170312	-0.5545717	0.009079173	-0.06265237	0.4509237
ENSG00000225937	ENSG00000170312	-0.3354109	0.1371789	0.1331369	0.1079263
ENSG00000268388	ENSG00000156345	0.02271063	0.9221605	0.05595994	0.5008112
ENSG00000245532	ENSG00000136807	-0.3523319	0.1172457	0.2191066	0.007668496
ENSG00000251562	ENSG00000136807	0.2005392	0.3834172	0.3557006	9.810921e-06
ENSG00000251562	ENSG00000006837	0.3972765	0.07453734	0.5696019	5.120621e-14
ENSG00000245694	ENSG00000185267	-0.412858	0.06287481	0.1424391	0.08524617
ENSG00000245694	ENSG00000109089	0.5632387	0.007845615	0.2122665	0.009848415
ENSG00000268388	ENSG00000109089	0.02595842	0.9110687	0.04027519	0.6281456
ENSG00000268388	ENSG00000101290	-0.08380814	0.7179675	0.2895816	0.0003743241
ENSG00000236790	ENSG00000165556	0.03677061	0.8742685	-0.0287309	0.7297627
ENSG00000255794	ENSG00000165556	0.6988928	0.0004238776	0.1936744	0.01875168
ENSG00000182586	ENSG00000165556	0.0144601	0.9503957	-0.03888639	0.6400532
ENSG00000260583	ENSG00000165556	0.04986062	0.8300544	0.008835654	0.9154124
ENSG00000242808	ENSG00000165556	0.04713951	0.8392093	-0.03682	0.6579408
ENSG00000245910	ENSG00000165556	-0.1197903	0.6050143	0.03315309	0.6901599
ENSG00000238197	ENSG00000165556	0.4068103	0.06722422	-0.07087147	0.3936545
ENSG00000182165	ENSG00000165556	0.4075858	0.06665413	0.08146425	0.3266415
ENSG00000175611	ENSG00000165556	0.567562	0.007283864	0.05293084	0.524307
ENSG00000177640	ENSG00000165556	0.02740964	0.9061175	0.1792831	0.02979751
ENSG00000235823	ENSG00000165556	-0.1767852	0.4433238	0.1659929	0.04450135
ENSG00000247400	ENSG00000165556	-0.1302174	0.5737101	-0.0130351	0.8754816
ENSG00000227354	ENSG00000165556	-0.1473129	0.5239769	-0.08609136	0.2998208
ENSG00000264575	ENSG00000165556	0.5212524	0.01538619	0.03873593	0.6413488
ENSG00000255198	ENSG00000165556	0.7311247	0.000166397	-0.0061773	0.9408058
ENSG00000253738	ENSG00000165556	0.2322326	0.311063	-0.02224654	0.7891185
ENSG00000174680	ENSG00000165556	0.1060119	0.6474177	0.06593786	0.4274905
ENSG00000259974	ENSG00000165556	0.7668632	5.004219e-05	0.7626742	3.133614e-29
ENSG00000233429	ENSG00000165556	-0.2700724	0.2364114	0.05629181	0.498271
ENSG00000197989	ENSG00000165556	0.1264578	0.5849158	-0.08150966	0.326371
ENSG00000180769	ENSG00000165556	0.1618835	0.4832634	-0.1081655	0.1922093
ENSG00000226950	ENSG00000165556	0.3833618	0.08626038	0.147406	0.0747996
ENSG00000224965	ENSG00000245848	-0.4975972	0.02171637	0.1009838	0.2235945
ENSG00000232973	ENSG00000245848	0.5716193	0.006787192	0.322334	6.84726e-05
